location,lat,long,alt,year,bloom_date,bloom_doy
Japan/Rumoi,43.94611111,141.6319444,23.6,1973,5/18/73,138
Japan/Rumoi,43.94611111,141.6319444,23.6,1974,5/18/74,138
Japan/Rumoi,43.94611111,141.6319444,23.6,1975,5/12/75,132
Japan/Rumoi,43.94611111,141.6319444,23.6,1976,5/16/76,137
Japan/Rumoi,43.94611111,141.6319444,23.6,1977,5/16/77,136
Japan/Rumoi,43.94611111,141.6319444,23.6,1978,5/14/78,134
Japan/Rumoi,43.94611111,141.6319444,23.6,1979,5/20/79,140
Japan/Rumoi,43.94611111,141.6319444,23.6,1980,5/22/80,143
Japan/Rumoi,43.94611111,141.6319444,23.6,1981,5/13/81,133
Japan/Rumoi,43.94611111,141.6319444,23.6,1982,5/12/82,132
Japan/Rumoi,43.94611111,141.6319444,23.6,1983,5/3/83,123
Japan/Rumoi,43.94611111,141.6319444,23.6,1984,5/23/84,144
Japan/Rumoi,43.94611111,141.6319444,23.6,1985,5/13/85,133
Japan/Rumoi,43.94611111,141.6319444,23.6,1986,5/11/86,131
Japan/Rumoi,43.94611111,141.6319444,23.6,1987,5/15/87,135
Japan/Rumoi,43.94611111,141.6319444,23.6,1988,5/12/88,133
Japan/Rumoi,43.94611111,141.6319444,23.6,1989,5/7/89,127
Japan/Rumoi,43.94611111,141.6319444,23.6,1990,5/1/90,121
Japan/Rumoi,43.94611111,141.6319444,23.6,1991,5/11/91,131
Japan/Rumoi,43.94611111,141.6319444,23.6,1992,5/16/92,137
Japan/Rumoi,43.94611111,141.6319444,23.6,1993,5/14/93,134
Japan/Rumoi,43.94611111,141.6319444,23.6,1994,5/18/94,138
Japan/Rumoi,43.94611111,141.6319444,23.6,1995,5/9/95,129
Japan/Rumoi,43.94611111,141.6319444,23.6,1996,5/22/96,143
Japan/Rumoi,43.94611111,141.6319444,23.6,1997,5/14/97,134
Japan/Rumoi,43.94611111,141.6319444,23.6,1998,5/3/98,123
Japan/Rumoi,43.94611111,141.6319444,23.6,1999,5/19/99,139
Japan/Rumoi,43.94611111,141.6319444,23.6,2000,5/17/00,138
Japan/Rumoi,43.94611111,141.6319444,23.6,2001,5/14/01,134
Japan/Rumoi,43.94611111,141.6319444,23.6,2002,5/2/02,122
Japan/Rumoi,43.94611111,141.6319444,23.6,2003,5/13/03,133
Japan/Rumoi,43.94611111,141.6319444,23.6,2004,5/13/04,134
Japan/Rumoi,43.94611111,141.6319444,23.6,2005,5/23/05,143
Japan/Rumoi,43.94611111,141.6319444,23.6,2006,5/16/06,136
Japan/Rumoi,43.94611111,141.6319444,23.6,2007,5/14/07,134
Japan/Rumoi,43.94611111,141.6319444,23.6,2008,5/1/08,122
Japan/Asahikawa,43.75694444,142.3722222,119.8,1953,5/16/53,136
Japan/Asahikawa,43.75694444,142.3722222,119.8,1954,5/18/54,138
Japan/Asahikawa,43.75694444,142.3722222,119.8,1955,5/14/55,134
Japan/Asahikawa,43.75694444,142.3722222,119.8,1956,5/13/56,134
Japan/Asahikawa,43.75694444,142.3722222,119.8,1957,5/14/57,134
Japan/Asahikawa,43.75694444,142.3722222,119.8,1958,5/15/58,135
Japan/Asahikawa,43.75694444,142.3722222,119.8,1959,5/13/59,133
Japan/Asahikawa,43.75694444,142.3722222,119.8,1960,5/16/60,137
Japan/Asahikawa,43.75694444,142.3722222,119.8,1961,5/12/61,132
Japan/Asahikawa,43.75694444,142.3722222,119.8,1962,5/11/62,131
Japan/Asahikawa,43.75694444,142.3722222,119.8,1963,5/13/63,133
Japan/Asahikawa,43.75694444,142.3722222,119.8,1964,5/16/64,137
Japan/Asahikawa,43.75694444,142.3722222,119.8,1965,5/19/65,139
Japan/Asahikawa,43.75694444,142.3722222,119.8,1966,5/18/66,138
Japan/Asahikawa,43.75694444,142.3722222,119.8,1967,5/8/67,128
Japan/Asahikawa,43.75694444,142.3722222,119.8,1968,5/5/68,126
Japan/Asahikawa,43.75694444,142.3722222,119.8,1969,5/9/69,129
Japan/Asahikawa,43.75694444,142.3722222,119.8,1970,5/10/70,130
Japan/Asahikawa,43.75694444,142.3722222,119.8,1971,5/15/71,135
Japan/Asahikawa,43.75694444,142.3722222,119.8,1972,5/4/72,125
Japan/Asahikawa,43.75694444,142.3722222,119.8,1973,5/11/73,131
Japan/Asahikawa,43.75694444,142.3722222,119.8,1974,5/15/74,135
Japan/Asahikawa,43.75694444,142.3722222,119.8,1975,5/12/75,132
Japan/Asahikawa,43.75694444,142.3722222,119.8,1976,5/14/76,135
Japan/Asahikawa,43.75694444,142.3722222,119.8,1977,5/14/77,134
Japan/Asahikawa,43.75694444,142.3722222,119.8,1978,5/11/78,131
Japan/Asahikawa,43.75694444,142.3722222,119.8,1979,5/15/79,135
Japan/Asahikawa,43.75694444,142.3722222,119.8,1980,5/19/80,140
Japan/Asahikawa,43.75694444,142.3722222,119.8,1981,5/7/81,127
Japan/Asahikawa,43.75694444,142.3722222,119.8,1982,5/7/82,127
Japan/Asahikawa,43.75694444,142.3722222,119.8,1983,4/29/83,119
Japan/Asahikawa,43.75694444,142.3722222,119.8,1984,5/17/84,138
Japan/Asahikawa,43.75694444,142.3722222,119.8,1985,5/6/85,126
Japan/Asahikawa,43.75694444,142.3722222,119.8,1986,5/8/86,128
Japan/Asahikawa,43.75694444,142.3722222,119.8,1987,5/10/87,130
Japan/Asahikawa,43.75694444,142.3722222,119.8,1988,5/11/88,132
Japan/Asahikawa,43.75694444,142.3722222,119.8,1989,5/6/89,126
Japan/Asahikawa,43.75694444,142.3722222,119.8,1990,5/3/90,123
Japan/Asahikawa,43.75694444,142.3722222,119.8,1991,5/7/91,127
Japan/Asahikawa,43.75694444,142.3722222,119.8,1992,5/11/92,132
Japan/Asahikawa,43.75694444,142.3722222,119.8,1993,5/11/93,131
Japan/Asahikawa,43.75694444,142.3722222,119.8,1994,5/13/94,133
Japan/Asahikawa,43.75694444,142.3722222,119.8,1995,5/4/95,124
Japan/Asahikawa,43.75694444,142.3722222,119.8,1996,5/13/96,134
Japan/Asahikawa,43.75694444,142.3722222,119.8,1997,5/7/97,127
Japan/Asahikawa,43.75694444,142.3722222,119.8,1998,4/25/98,115
Japan/Asahikawa,43.75694444,142.3722222,119.8,1999,5/8/99,128
Japan/Asahikawa,43.75694444,142.3722222,119.8,2000,5/11/00,132
Japan/Asahikawa,43.75694444,142.3722222,119.8,2001,5/7/01,127
Japan/Asahikawa,43.75694444,142.3722222,119.8,2002,4/25/02,115
Japan/Asahikawa,43.75694444,142.3722222,119.8,2003,5/4/03,124
Japan/Asahikawa,43.75694444,142.3722222,119.8,2004,5/9/04,130
Japan/Asahikawa,43.75694444,142.3722222,119.8,2005,5/17/05,137
Japan/Asahikawa,43.75694444,142.3722222,119.8,2006,5/12/06,132
Japan/Asahikawa,43.75694444,142.3722222,119.8,2007,5/8/07,128
Japan/Asahikawa,43.75694444,142.3722222,119.8,2008,4/26/08,117
Japan/Asahikawa,43.75694444,142.3722222,119.8,2009,5/4/09,124
Japan/Asahikawa,43.75694444,142.3722222,119.8,2010,5/13/10,133
Japan/Asahikawa,43.75694444,142.3722222,119.8,2011,5/12/11,132
Japan/Asahikawa,43.75694444,142.3722222,119.8,2012,5/2/12,123
Japan/Asahikawa,43.75694444,142.3722222,119.8,2013,5/20/13,140
Japan/Asahikawa,43.75694444,142.3722222,119.8,2014,5/4/14,124
Japan/Asahikawa,43.75694444,142.3722222,119.8,2015,4/28/15,118
Japan/Asahikawa,43.75694444,142.3722222,119.8,2016,5/4/16,125
Japan/Asahikawa,43.75694444,142.3722222,119.8,2017,5/5/17,125
Japan/Asahikawa,43.75694444,142.3722222,119.8,2018,5/1/18,121
Japan/Asahikawa,43.75694444,142.3722222,119.8,2019,5/4/19,124
Japan/Asahikawa,43.75694444,142.3722222,119.8,2020,5/4/20,125
Japan/Asahikawa,43.75694444,142.3722222,119.8,2021,5/3/21,123
Japan/Abashiri,44.01777778,144.2797222,37.58,1953,5/26/53,146
Japan/Abashiri,44.01777778,144.2797222,37.58,1954,5/19/54,139
Japan/Abashiri,44.01777778,144.2797222,37.58,1955,5/20/55,140
Japan/Abashiri,44.01777778,144.2797222,37.58,1956,5/13/56,134
Japan/Abashiri,44.01777778,144.2797222,37.58,1959,5/7/59,127
Japan/Abashiri,44.01777778,144.2797222,37.58,1966,5/21/66,141
Japan/Abashiri,44.01777778,144.2797222,37.58,1968,5/10/68,131
Japan/Abashiri,44.01777778,144.2797222,37.58,1969,5/13/69,133
Japan/Abashiri,44.01777778,144.2797222,37.58,1970,5/10/70,130
Japan/Abashiri,44.01777778,144.2797222,37.58,1971,5/20/71,140
Japan/Abashiri,44.01777778,144.2797222,37.58,1972,5/6/72,127
Japan/Abashiri,44.01777778,144.2797222,37.58,1973,5/13/73,133
Japan/Abashiri,44.01777778,144.2797222,37.58,1974,5/18/74,138
Japan/Abashiri,44.01777778,144.2797222,37.58,1975,5/17/75,137
Japan/Abashiri,44.01777778,144.2797222,37.58,1976,5/16/76,137
Japan/Abashiri,44.01777778,144.2797222,37.58,1977,5/16/77,136
Japan/Abashiri,44.01777778,144.2797222,37.58,1978,5/14/78,134
Japan/Abashiri,44.01777778,144.2797222,37.58,1979,5/26/79,146
Japan/Abashiri,44.01777778,144.2797222,37.58,1980,5/23/80,144
Japan/Abashiri,44.01777778,144.2797222,37.58,1981,5/17/81,137
Japan/Abashiri,44.01777778,144.2797222,37.58,1982,5/13/82,133
Japan/Abashiri,44.01777778,144.2797222,37.58,1983,5/5/83,125
Japan/Abashiri,44.01777778,144.2797222,37.58,1984,5/26/84,147
Japan/Abashiri,44.01777778,144.2797222,37.58,1985,5/12/85,132
Japan/Abashiri,44.01777778,144.2797222,37.58,1986,5/10/86,130
Japan/Abashiri,44.01777778,144.2797222,37.58,1987,5/11/87,131
Japan/Abashiri,44.01777778,144.2797222,37.58,1988,5/15/88,136
Japan/Abashiri,44.01777778,144.2797222,37.58,1989,5/19/89,139
Japan/Abashiri,44.01777778,144.2797222,37.58,1990,5/9/90,129
Japan/Abashiri,44.01777778,144.2797222,37.58,1991,5/10/91,130
Japan/Abashiri,44.01777778,144.2797222,37.58,1992,5/16/92,137
Japan/Abashiri,44.01777778,144.2797222,37.58,1993,5/22/93,142
Japan/Abashiri,44.01777778,144.2797222,37.58,1994,5/17/94,137
Japan/Abashiri,44.01777778,144.2797222,37.58,1995,5/10/95,130
Japan/Abashiri,44.01777778,144.2797222,37.58,1996,5/27/96,148
Japan/Abashiri,44.01777778,144.2797222,37.58,1997,5/15/97,135
Japan/Abashiri,44.01777778,144.2797222,37.58,1998,5/1/98,121
Japan/Abashiri,44.01777778,144.2797222,37.58,1999,5/13/99,133
Japan/Abashiri,44.01777778,144.2797222,37.58,2000,5/21/00,142
Japan/Abashiri,44.01777778,144.2797222,37.58,2001,5/13/01,133
Japan/Abashiri,44.01777778,144.2797222,37.58,2002,5/1/02,121
Japan/Abashiri,44.01777778,144.2797222,37.58,2003,5/12/03,132
Japan/Abashiri,44.01777778,144.2797222,37.58,2004,5/13/04,134
Japan/Abashiri,44.01777778,144.2797222,37.58,2005,5/25/05,145
Japan/Abashiri,44.01777778,144.2797222,37.58,2006,5/17/06,137
Japan/Abashiri,44.01777778,144.2797222,37.58,2007,5/16/07,136
Japan/Abashiri,44.01777778,144.2797222,37.58,2008,5/5/08,126
Japan/Abashiri,44.01777778,144.2797222,37.58,2009,5/7/09,127
Japan/Abashiri,44.01777778,144.2797222,37.58,2010,5/18/10,138
Japan/Abashiri,44.01777778,144.2797222,37.58,2011,5/18/11,138
Japan/Abashiri,44.01777778,144.2797222,37.58,2012,5/5/12,126
Japan/Abashiri,44.01777778,144.2797222,37.58,2013,5/27/13,147
Japan/Abashiri,44.01777778,144.2797222,37.58,2014,5/11/14,131
Japan/Abashiri,44.01777778,144.2797222,37.58,2015,5/3/15,123
Japan/Abashiri,44.01777778,144.2797222,37.58,2016,5/10/16,131
Japan/Abashiri,44.01777778,144.2797222,37.58,2017,5/7/17,127
Japan/Abashiri,44.01777778,144.2797222,37.58,2018,5/6/18,126
Japan/Abashiri,44.01777778,144.2797222,37.58,2019,5/7/19,127
Japan/Abashiri,44.01777778,144.2797222,37.58,2020,5/9/20,130
Japan/Abashiri,44.01777778,144.2797222,37.58,2021,5/7/21,127
Japan/Sapporo,43.06,141.3286111,17.45,1953,5/14/53,134
Japan/Sapporo,43.06,141.3286111,17.45,1954,5/8/54,128
Japan/Sapporo,43.06,141.3286111,17.45,1955,5/16/55,136
Japan/Sapporo,43.06,141.3286111,17.45,1956,5/9/56,130
Japan/Sapporo,43.06,141.3286111,17.45,1957,5/13/57,133
Japan/Sapporo,43.06,141.3286111,17.45,1959,5/10/59,130
Japan/Sapporo,43.06,141.3286111,17.45,1960,5/9/60,130
Japan/Sapporo,43.06,141.3286111,17.45,1961,5/9/61,129
Japan/Sapporo,43.06,141.3286111,17.45,1962,5/5/62,125
Japan/Sapporo,43.06,141.3286111,17.45,1963,5/5/63,125
Japan/Sapporo,43.06,141.3286111,17.45,1964,5/7/64,128
Japan/Sapporo,43.06,141.3286111,17.45,1965,5/16/65,136
Japan/Sapporo,43.06,141.3286111,17.45,1966,5/11/66,131
Japan/Sapporo,43.06,141.3286111,17.45,1967,5/4/67,124
Japan/Sapporo,43.06,141.3286111,17.45,1968,5/4/68,125
Japan/Sapporo,43.06,141.3286111,17.45,1969,5/10/69,130
Japan/Sapporo,43.06,141.3286111,17.45,1970,5/9/70,129
Japan/Sapporo,43.06,141.3286111,17.45,1971,5/13/71,133
Japan/Sapporo,43.06,141.3286111,17.45,1972,5/1/72,122
Japan/Sapporo,43.06,141.3286111,17.45,1973,5/7/73,127
Japan/Sapporo,43.06,141.3286111,17.45,1974,5/13/74,133
Japan/Sapporo,43.06,141.3286111,17.45,1975,5/8/75,128
Japan/Sapporo,43.06,141.3286111,17.45,1976,5/10/76,131
Japan/Sapporo,43.06,141.3286111,17.45,1977,5/12/77,132
Japan/Sapporo,43.06,141.3286111,17.45,1978,5/13/78,133
Japan/Sapporo,43.06,141.3286111,17.45,1979,5/14/79,134
Japan/Sapporo,43.06,141.3286111,17.45,1980,5/18/80,139
Japan/Sapporo,43.06,141.3286111,17.45,1981,5/8/81,128
Japan/Sapporo,43.06,141.3286111,17.45,1982,5/8/82,128
Japan/Sapporo,43.06,141.3286111,17.45,1983,5/1/83,121
Japan/Sapporo,43.06,141.3286111,17.45,1984,5/21/84,142
Japan/Sapporo,43.06,141.3286111,17.45,1985,5/8/85,128
Japan/Sapporo,43.06,141.3286111,17.45,1986,5/9/86,129
Japan/Sapporo,43.06,141.3286111,17.45,1987,5/9/87,129
Japan/Sapporo,43.06,141.3286111,17.45,1988,5/7/88,128
Japan/Sapporo,43.06,141.3286111,17.45,1989,5/4/89,124
Japan/Sapporo,43.06,141.3286111,17.45,1990,4/29/90,119
Japan/Sapporo,43.06,141.3286111,17.45,1991,5/7/91,127
Japan/Sapporo,43.06,141.3286111,17.45,1992,5/10/92,131
Japan/Sapporo,43.06,141.3286111,17.45,1993,5/10/93,130
Japan/Sapporo,43.06,141.3286111,17.45,1994,5/9/94,129
Japan/Sapporo,43.06,141.3286111,17.45,1995,5/3/95,123
Japan/Sapporo,43.06,141.3286111,17.45,1996,5/12/96,133
Japan/Sapporo,43.06,141.3286111,17.45,1997,5/5/97,125
Japan/Sapporo,43.06,141.3286111,17.45,1998,4/26/98,116
Japan/Sapporo,43.06,141.3286111,17.45,1999,5/8/99,128
Japan/Sapporo,43.06,141.3286111,17.45,2000,5/11/00,132
Japan/Sapporo,43.06,141.3286111,17.45,2001,5/5/01,125
Japan/Sapporo,43.06,141.3286111,17.45,2002,4/25/02,115
Japan/Sapporo,43.06,141.3286111,17.45,2003,5/4/03,124
Japan/Sapporo,43.06,141.3286111,17.45,2004,5/9/04,130
Japan/Sapporo,43.06,141.3286111,17.45,2005,5/16/05,136
Japan/Sapporo,43.06,141.3286111,17.45,2006,5/12/06,132
Japan/Sapporo,43.06,141.3286111,17.45,2007,5/8/07,128
Japan/Sapporo,43.06,141.3286111,17.45,2008,4/25/08,116
Japan/Sapporo,43.06,141.3286111,17.45,2009,5/4/09,124
Japan/Sapporo,43.06,141.3286111,17.45,2010,5/14/10,134
Japan/Sapporo,43.06,141.3286111,17.45,2011,5/12/11,132
Japan/Sapporo,43.06,141.3286111,17.45,2012,5/2/12,123
Japan/Sapporo,43.06,141.3286111,17.45,2013,5/17/13,137
Japan/Sapporo,43.06,141.3286111,17.45,2014,5/1/14,121
Japan/Sapporo,43.06,141.3286111,17.45,2015,4/26/15,116
Japan/Sapporo,43.06,141.3286111,17.45,2016,5/1/16,122
Japan/Sapporo,43.06,141.3286111,17.45,2017,5/3/17,123
Japan/Sapporo,43.06,141.3286111,17.45,2018,4/29/18,119
Japan/Sapporo,43.06,141.3286111,17.45,2019,4/29/19,119
Japan/Sapporo,43.06,141.3286111,17.45,2020,5/2/20,123
Japan/Sapporo,43.06,141.3286111,17.45,2021,4/27/21,117
Japan/Iwamizawa,43.21166667,141.7858333,42.3,1953,5/11/53,131
Japan/Iwamizawa,43.21166667,141.7858333,42.3,1954,5/9/54,129
Japan/Iwamizawa,43.21166667,141.7858333,42.3,1955,5/13/55,133
Japan/Iwamizawa,43.21166667,141.7858333,42.3,1956,5/9/56,130
Japan/Iwamizawa,43.21166667,141.7858333,42.3,1958,5/14/58,134
Japan/Iwamizawa,43.21166667,141.7858333,42.3,1960,5/15/60,136
Japan/Iwamizawa,43.21166667,141.7858333,42.3,1961,5/7/61,127
Japan/Iwamizawa,43.21166667,141.7858333,42.3,1962,5/5/62,125
Japan/Iwamizawa,43.21166667,141.7858333,42.3,1963,5/12/63,132
Japan/Iwamizawa,43.21166667,141.7858333,42.3,1964,5/10/64,131
Japan/Iwamizawa,43.21166667,141.7858333,42.3,1965,5/20/65,140
Japan/Iwamizawa,43.21166667,141.7858333,42.3,1966,5/17/66,137
Japan/Iwamizawa,43.21166667,141.7858333,42.3,1967,5/10/67,130
Japan/Iwamizawa,43.21166667,141.7858333,42.3,1968,5/6/68,127
Japan/Iwamizawa,43.21166667,141.7858333,42.3,1969,5/13/69,133
Japan/Iwamizawa,43.21166667,141.7858333,42.3,1970,5/13/70,133
Japan/Iwamizawa,43.21166667,141.7858333,42.3,1971,5/17/71,137
Japan/Iwamizawa,43.21166667,141.7858333,42.3,1972,5/6/72,127
Japan/Iwamizawa,43.21166667,141.7858333,42.3,1973,5/10/73,130
Japan/Iwamizawa,43.21166667,141.7858333,42.3,1974,5/14/74,134
Japan/Iwamizawa,43.21166667,141.7858333,42.3,1975,5/11/75,131
Japan/Iwamizawa,43.21166667,141.7858333,42.3,1976,5/13/76,134
Japan/Iwamizawa,43.21166667,141.7858333,42.3,1977,5/15/77,135
Japan/Iwamizawa,43.21166667,141.7858333,42.3,1978,5/14/78,134
Japan/Iwamizawa,43.21166667,141.7858333,42.3,1979,5/14/79,134
Japan/Iwamizawa,43.21166667,141.7858333,42.3,1980,5/18/80,139
Japan/Iwamizawa,43.21166667,141.7858333,42.3,1981,5/9/81,129
Japan/Iwamizawa,43.21166667,141.7858333,42.3,1982,5/8/82,128
Japan/Iwamizawa,43.21166667,141.7858333,42.3,1983,4/30/83,120
Japan/Iwamizawa,43.21166667,141.7858333,42.3,1984,5/20/84,141
Japan/Iwamizawa,43.21166667,141.7858333,42.3,1985,5/10/85,130
Japan/Iwamizawa,43.21166667,141.7858333,42.3,1986,5/8/86,128
Japan/Iwamizawa,43.21166667,141.7858333,42.3,1987,5/9/87,129
Japan/Iwamizawa,43.21166667,141.7858333,42.3,1988,5/7/88,128
Japan/Iwamizawa,43.21166667,141.7858333,42.3,1989,5/1/89,121
Japan/Iwamizawa,43.21166667,141.7858333,42.3,1990,4/30/90,120
Japan/Iwamizawa,43.21166667,141.7858333,42.3,1991,5/6/91,126
Japan/Iwamizawa,43.21166667,141.7858333,42.3,1992,5/10/92,131
Japan/Iwamizawa,43.21166667,141.7858333,42.3,1993,5/9/93,129
Japan/Iwamizawa,43.21166667,141.7858333,42.3,1994,5/11/94,131
Japan/Iwamizawa,43.21166667,141.7858333,42.3,1995,5/5/95,125
Japan/Iwamizawa,43.21166667,141.7858333,42.3,1996,5/9/96,130
Japan/Iwamizawa,43.21166667,141.7858333,42.3,1997,5/5/97,125
Japan/Iwamizawa,43.21166667,141.7858333,42.3,1998,4/27/98,117
Japan/Iwamizawa,43.21166667,141.7858333,42.3,1999,5/7/99,127
Japan/Iwamizawa,43.21166667,141.7858333,42.3,2000,5/10/00,131
Japan/Iwamizawa,43.21166667,141.7858333,42.3,2001,5/7/01,127
Japan/Iwamizawa,43.21166667,141.7858333,42.3,2002,4/25/02,115
Japan/Iwamizawa,43.21166667,141.7858333,42.3,2003,5/3/03,123
Japan/Iwamizawa,43.21166667,141.7858333,42.3,2004,5/7/04,128
Japan/Iwamizawa,43.21166667,141.7858333,42.3,2005,5/13/05,133
Japan/Iwamizawa,43.21166667,141.7858333,42.3,2006,5/12/06,132
Japan/Obihiro,42.92222222,143.2119444,38.4,1953,5/19/53,139
Japan/Obihiro,42.92222222,143.2119444,38.4,1954,5/12/54,132
Japan/Obihiro,42.92222222,143.2119444,38.4,1955,5/14/55,134
Japan/Obihiro,42.92222222,143.2119444,38.4,1956,5/9/56,130
Japan/Obihiro,42.92222222,143.2119444,38.4,1957,5/14/57,134
Japan/Obihiro,42.92222222,143.2119444,38.4,1958,5/16/58,136
Japan/Obihiro,42.92222222,143.2119444,38.4,1959,5/5/59,125
Japan/Obihiro,42.92222222,143.2119444,38.4,1960,5/15/60,136
Japan/Obihiro,42.92222222,143.2119444,38.4,1961,5/9/61,129
Japan/Obihiro,42.92222222,143.2119444,38.4,1962,5/7/62,127
Japan/Obihiro,42.92222222,143.2119444,38.4,1963,5/10/63,130
Japan/Obihiro,42.92222222,143.2119444,38.4,1964,5/10/64,131
Japan/Obihiro,42.92222222,143.2119444,38.4,1965,5/17/65,137
Japan/Obihiro,42.92222222,143.2119444,38.4,1966,5/17/66,137
Japan/Obihiro,42.92222222,143.2119444,38.4,1967,5/5/67,125
